query,latency_baseline,latency_dp,latency_fhe,latency_enhanced_rag,latency_optimal_rag,ndcg_dp,ndcg_enhanced_rag,ndcg_optimal_rag,rag_improvement_enhanced,rag_improvement_optimal,rms_baseline,rms_dp,rms_enhanced_rag,rms_optimal_rag,rms_fhe,diversity_baseline,diversity_dp,diversity_enhanced_rag,diversity_optimal_rag,diversity_fhe,geometry_baseline,geometry_dp,geometry_enhanced_rag,geometry_optimal_rag,geometry_fhe,robustness_baseline,robustness_dp,robustness_enhanced_rag,robustness_optimal_rag,robustness_fhe
post-operative knee arthroscopy pain management,0.9479522705078125,1.3759136199951172,578.5138607025146,0.13589859008789062,0.5979537963867188,4.404706086319427,2.70027261918903,2.258475743280815,-1.7044334671303973,-2.1462303430386123,0.0,0.0,5.0,5.6,10.0,0.3003566265106201,0.3003566265106201,0.3808101415634155,0.3831808567047119,0.359821081161499,0.0,0.04042328118661745,0.0,0.07722047533747016,0.08487695014627403,0.7,0.0,0.7,0.5,0.6
chest pain with ECG changes,0.3268718719482422,0.5941390991210938,587.1291160583496,0.13399124145507812,0.23102760314941406,4.404706086319427,2.6358475718484504,1.820701601083255,-1.7688585144709768,-2.5840044852361723,0.0,0.0,5.1,6.5,10.0,0.3673142194747925,0.3673142194747925,0.3874049186706543,0.39531636238098145,0.5087502300739288,0.0,0.04042328118661745,0.0,0.07722047533747016,0.08487695014627403,0.6,0.6,0.8,0.7,0.6
abdominal pain after appendectomy,0.32782554626464844,0.6010532379150391,575.681209564209,0.1308917999267578,0.6079673767089844,4.404706086319427,3.2417674746327823,3.7838602249752595,-1.162938611686645,-0.6208458613441676,0.0,0.0,5.1,4.5,10.0,0.17918479442596436,0.17918479442596436,0.2730865478515625,0.23103857040405273,0.4310600757598877,0.0,0.04042328118661745,0.0,0.07722047533747016,0.08487695014627403,1.0,1.0,1.0,1.0,1.0
shortness of breath with asthma history,0.32711029052734375,0.5948543548583984,585.9758853912354,0.12493133544921875,0.3058910369873047,4.404706086319427,2.7951815017342154,2.8858679920753536,-1.6095245845852117,-1.5188380942440736,0.0,0.0,4.6,4.7,10.0,0.2749713659286499,0.2749713659286499,0.4049704670906067,0.4049704074859619,0.6252633631229401,0.0,0.04042328118661745,0.0,0.07722047533747016,0.08487695014627403,1.0,0.4,0.9,0.4,1.0
lumbar spine MRI findings,0.3261566162109375,0.6051063537597656,585.9189033508301,0.13184547424316406,0.22602081298828125,4.404706086319427,3.682353188638562,2.988040969270789,-0.7223528976808651,-1.416665117048638,0.0,0.0,5.6,6.4,10.0,0.30522942543029785,0.30522942543029785,0.36617565155029297,0.36854076385498047,0.49095356464385986,0.0,0.04042328118661745,0.0,0.07722047533747016,0.08487695014627403,1.0,1.0,1.0,1.0,1.0
arthroscopic shoulder repair recovery,0.33092498779296875,0.6029605865478516,589.1797542572021,0.13184547424316406,0.22792816162109375,4.404706086319427,1.8405636956085683,2.218023125137812,-2.5641423907108587,-2.186682961181615,0.0,0.0,5.5,5.1,10.0,0.14680486917495728,0.14680486917495728,0.23985826969146729,0.23088157176971436,0.34178626537323,0.0,0.04042328118661745,0.0,0.07722047533747016,0.08487695014627403,1.0,1.0,1.0,1.0,1.0
ECG abnormalities in heart attack,0.32401084899902344,0.5960464477539062,578.930139541626,0.13637542724609375,0.23603439331054688,4.404706086319427,2.1443368096495483,2.871231181980203,-2.260369276669879,-1.533474904339224,0.0,0.0,6.7,6.0,10.0,0.28672653436660767,0.28672653436660767,0.3683907985687256,0.37360113859176636,0.5334651172161102,0.0,0.04042328118661745,0.0,0.07722047533747016,0.08487695014627403,0.7,0.9,0.3,0.8,0.6
knee joint effusion,0.3268718719482422,0.6022453308105469,574.6161937713623,0.1289844512939453,0.28896331787109375,4.404706086319427,1.9402737000932715,2.0555399429913295,-2.4644323862261555,-2.3491661433280977,0.0,0.0,6.8,6.8,10.0,0.3069157600402832,0.3069157600402832,0.3896148204803467,0.3896148204803467,0.5386915504932404,0.0,0.04042328118661745,0.0,0.07722047533747016,0.08487695014627403,1.0,1.0,1.0,1.0,1.0
diabetic foot ulcer treatment,0.3371238708496094,0.5948543548583984,580.6770324707031,0.1289844512939453,0.22602081298828125,4.404706086319427,2.4103203117453713,2.271457867871817,-1.9943857745740559,-2.1332482184476103,0.0,0.0,5.6,5.5,10.0,0.3436167240142822,0.3436167240142822,0.4224964380264282,0.4222556948661804,0.4829971194267273,0.0,0.04042328118661745,0.0,0.07722047533747016,0.08487695014627403,1.0,1.0,1.0,1.0,1.0
post-surgical infection management,0.32591819763183594,0.5960464477539062,600.1811027526855,0.1289844512939453,0.22602081298828125,4.404706086319427,2.1169850593873014,2.05988331180962,-2.2877210269321258,-2.344822774509807,0.0,0.0,5.8,5.3,10.0,0.4229065179824829,0.4229065179824829,0.46355801820755005,0.4593765139579773,0.4179462790489197,0.0,0.04042328118661745,0.0,0.07722047533747016,0.08487695014627403,1.0,1.0,1.0,1.0,1.0
